# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
# Date Time, aod
2020-07-08 12:31:30 nan	
2020-07-08 12:32:29 nan	
2020-07-08 12:33:30 nan	
2020-07-08 12:34:29 nan	
2020-07-08 12:35:30 nan	
2020-07-08 12:36:29 nan	
2020-07-08 12:37:30 nan	
2020-07-08 12:38:29 nan	
2020-07-08 12:39:30 nan	
2020-07-08 12:40:30 0.67397213	
2020-07-08 12:41:29 nan	
2020-07-08 12:42:30 nan	
2020-07-08 12:43:29 nan	
2020-07-08 12:44:30 nan	
2020-07-08 12:45:29 nan	
2020-07-08 12:46:30 nan	
2020-07-08 12:47:29 nan	
2020-07-08 12:48:30 nan	
2020-07-08 12:49:30 nan	
2020-07-08 12:50:29 nan	
2020-07-08 12:51:30 nan	
2020-07-08 12:52:29 nan	
2020-07-08 12:53:30 nan	
2020-07-08 12:54:29 nan	
2020-07-08 12:55:30 0.67329246	
2020-07-08 12:56:29 nan	
2020-07-08 12:57:30 nan	
2020-07-08 12:58:30 nan	
2020-07-08 12:59:29 nan	
2020-07-08 13:00:30 nan	
2020-07-08 13:01:29 nan	
2020-07-08 13:02:30 nan	
2020-07-08 13:03:29 nan	
2020-07-08 13:04:30 nan	
2020-07-08 13:05:29 nan	
2020-07-08 13:06:30 nan	
2020-07-08 13:07:30 nan	
2020-07-08 13:08:29 nan	
2020-07-08 13:09:30 nan	
2020-07-08 13:10:29 0.64642364	
2020-07-08 13:11:30 nan	
2020-07-08 13:12:29 nan	
2020-07-08 13:13:30 nan	
2020-07-08 13:14:29 nan	
2020-07-08 13:15:30 nan	
2020-07-08 13:16:30 nan	
2020-07-08 13:17:29 nan	
2020-07-08 13:18:30 nan	
2020-07-08 13:19:29 nan	
2020-07-08 13:20:30 nan	
2020-07-08 13:21:29 nan	
2020-07-08 13:22:30 nan	
2020-07-08 13:23:29 nan	
2020-07-08 13:24:30 nan	
2020-07-08 13:25:30 0.6595204	
2020-07-08 13:26:29 nan	
2020-07-08 13:27:30 nan	
2020-07-08 13:28:29 nan	
2020-07-08 13:29:30 nan	
2020-07-08 13:30:29 nan	
2020-07-08 13:31:30 nan	
2020-07-08 13:32:29 nan	
2020-07-08 13:33:30 nan	
2020-07-08 13:34:30 nan	
2020-07-08 13:35:29 nan	
2020-07-08 13:36:30 nan	
2020-07-08 13:37:29 nan	
2020-07-08 13:38:30 nan	
2020-07-08 13:39:29 nan	
2020-07-08 13:40:30 nan	
2020-07-08 13:41:29 nan	
2020-07-08 13:42:30 nan	
2020-07-08 13:43:30 nan	
2020-07-08 13:44:29 nan	
2020-07-08 13:45:30 nan	
2020-07-08 13:46:29 nan	
2020-07-08 13:47:30 nan	
2020-07-08 13:48:29 nan	
2020-07-08 13:49:30 nan	
2020-07-08 13:50:29 nan	
2020-07-08 13:51:30 nan	
2020-07-08 13:52:30 nan	
2020-07-08 13:53:29 nan	
2020-07-08 13:54:30 nan	
2020-07-08 13:55:29 0.66271704	
2020-07-08 13:56:30 nan	
2020-07-08 13:57:29 nan	
2020-07-08 13:58:30 nan	
2020-07-08 13:59:29 nan	
2020-07-08 14:00:30 nan	
2020-07-08 14:01:30 nan	
2020-07-08 14:02:29 nan	
2020-07-08 14:03:30 nan	
2020-07-08 14:04:29 nan	
2020-07-08 14:05:30 nan	
2020-07-08 14:06:29 nan	
2020-07-08 14:07:30 nan	
2020-07-08 14:08:29 nan	
2020-07-08 14:09:30 nan	
2020-07-08 14:10:30 0.6397036	
2020-07-08 14:11:29 nan	
2020-07-08 14:12:30 nan	
2020-07-08 14:13:29 nan	
2020-07-08 14:14:30 nan	
2020-07-08 14:15:29 nan	
2020-07-08 14:16:30 nan	
2020-07-08 14:17:29 nan	
2020-07-08 14:18:30 nan	
2020-07-08 14:19:30 nan	
2020-07-08 14:20:29 nan	
2020-07-08 14:21:30 nan	
2020-07-08 14:22:29 nan	
2020-07-08 14:23:30 nan	
2020-07-08 14:24:29 nan	
2020-07-08 14:25:30 0.6253947	
2020-07-08 14:26:29 nan	
2020-07-08 14:27:30 nan	
2020-07-08 14:28:30 nan	
2020-07-08 14:29:29 nan	
2020-07-08 14:30:30 nan	
2020-07-08 14:31:29 nan	
2020-07-08 14:32:30 nan	
2020-07-08 14:33:29 nan	
2020-07-08 14:34:30 nan	
2020-07-08 14:35:29 nan	
2020-07-08 14:36:30 nan	
2020-07-08 14:37:30 nan	
2020-07-08 14:38:29 nan	
2020-07-08 14:39:30 nan	
2020-07-08 14:40:29 0.6164411	
2020-07-08 14:41:30 nan	
2020-07-08 14:42:29 nan	
2020-07-08 14:43:30 nan	
2020-07-08 14:44:29 nan	
2020-07-08 14:45:30 nan	
2020-07-08 14:46:30 nan	
2020-07-08 14:47:29 nan	
2020-07-08 14:48:30 nan	
2020-07-08 14:49:29 nan	
2020-07-08 14:50:30 nan	
2020-07-08 14:51:29 nan	
2020-07-08 14:52:30 nan	
2020-07-08 14:53:29 nan	
2020-07-08 14:54:30 nan	
2020-07-08 14:55:30 0.6398775	
2020-07-08 14:56:29 nan	
2020-07-08 14:57:30 nan	
2020-07-08 14:58:29 nan	
2020-07-08 14:59:30 nan	
2020-07-08 15:00:29 nan	
2020-07-08 15:01:30 nan	
2020-07-08 15:02:29 nan	
2020-07-08 15:03:30 nan	
2020-07-08 15:04:30 nan	
2020-07-08 15:05:29 nan	
2020-07-08 15:06:30 nan	
2020-07-08 15:07:29 nan	
2020-07-08 15:08:30 nan	
2020-07-08 15:09:29 nan	
2020-07-08 15:10:30 0.6434989	
2020-07-08 15:11:29 0.7702085	
2020-07-08 15:12:30 0.7762517	
2020-07-08 15:13:30 0.76750153	
2020-07-08 15:14:29 0.75234526	
2020-07-08 15:15:30 0.7548399	
2020-07-08 15:16:29 0.75754017	
2020-07-08 15:17:30 nan	
2020-07-08 15:18:29 nan	
2020-07-08 15:19:30 nan	
2020-07-08 15:20:29 0.72650063	
2020-07-08 15:21:30 nan	
2020-07-08 15:22:30 nan	
2020-07-08 15:23:29 0.7220889	
2020-07-08 15:24:30 0.7171818	
2020-07-08 15:25:29 0.7128715	
2020-07-08 15:26:30 0.713976	
2020-07-08 15:27:29 0.70961255	
2020-07-08 15:28:30 0.7064737	
2020-07-08 15:29:29 0.6973859	
2020-07-08 15:30:30 0.6964304	
2020-07-08 15:31:30 0.68993646	
2020-07-08 15:32:29 0.68702894	
2020-07-08 15:33:30 0.67450887	
2020-07-08 15:34:29 0.67097616	
2020-07-08 15:35:30 0.6608226	
2020-07-08 15:36:29 0.650846	
2020-07-08 15:37:30 0.656271	
2020-07-08 15:38:29 0.65540457	
2020-07-08 15:39:30 0.65365285	
2020-07-08 15:40:30 0.6515519	
2020-07-08 15:41:29 0.65458745	
2020-07-08 15:42:30 0.64096886	
2020-07-08 15:43:29 0.6492871	
2020-07-08 15:44:30 0.64660656	
2020-07-08 15:45:29 0.6490677	
2020-07-08 15:46:30 0.6561553	
2020-07-08 15:47:29 0.65443754	
2020-07-08 15:48:30 0.6551198	
2020-07-08 15:49:30 0.66849405	
2020-07-08 15:50:29 0.6659894	
2020-07-08 15:51:30 0.67150867	
2020-07-08 15:52:29 0.677786	
2020-07-08 15:53:30 0.6733467	
2020-07-08 15:54:29 0.6719922	
2020-07-08 15:55:30 0.6675923	
2020-07-08 15:56:29 0.68431455	
2020-07-08 15:57:30 0.6880508	
2020-07-08 15:58:30 0.6812879	
2020-07-08 15:59:29 0.6783943	
2020-07-08 16:00:30 0.68052095	
2020-07-08 16:01:29 0.67524195	
2020-07-08 16:02:30 0.6858498	
2020-07-08 16:03:29 0.69023734	
2020-07-08 16:04:30 0.689096	
2020-07-08 16:05:29 0.6846901	
2020-07-08 16:06:30 0.68478376	
2020-07-08 16:07:30 0.67746675	
2020-07-08 16:08:29 0.6863381	
2020-07-08 16:09:30 0.68856514	
2020-07-08 16:10:29 0.67750126	
2020-07-08 16:11:30 0.6762289	
2020-07-08 16:12:29 0.67730314	
2020-07-08 16:13:30 0.67017996	
2020-07-08 16:14:29 0.6745477	
2020-07-08 16:15:30 0.67679816	
2020-07-08 16:16:30 0.67771584	
2020-07-08 16:17:29 0.6760054	
2020-07-08 16:18:30 0.6770555	
2020-07-08 16:19:29 0.6816928	
2020-07-08 16:20:30 0.69249356	
2020-07-08 16:21:29 0.69321024	
2020-07-08 16:22:30 0.69490993	
2020-07-08 16:23:29 0.6826476	
2020-07-08 16:24:30 0.6853415	
2020-07-08 16:25:30 0.67900115	
2020-07-08 16:26:29 0.68955326	
2020-07-08 16:27:30 0.6948928	
2020-07-08 16:28:29 0.6934765	
2020-07-08 16:29:30 0.68633896	
2020-07-08 16:30:29 0.691034	
2020-07-08 16:31:30 0.69626427	
2020-07-08 16:32:29 0.69415563	
2020-07-08 16:33:30 0.69405085	
2020-07-08 16:34:30 0.6864875	
2020-07-08 16:35:29 0.6843786	
2020-07-08 16:36:30 0.68038553	
2020-07-08 16:37:29 0.68338066	
2020-07-08 16:38:30 0.67992437	
2020-07-08 16:39:29 0.6718686	
2020-07-08 16:40:30 0.67712533	
2020-07-08 16:41:29 0.6746853	
2020-07-08 16:42:30 0.6726695	
2020-07-08 16:43:30 0.672978	
2020-07-08 16:44:29 0.6695733	
2020-07-08 16:45:30 0.67587036	
2020-07-08 16:46:29 0.6771904	
2020-07-08 16:47:30 0.67512614	
2020-07-08 16:48:29 0.67159986	
2020-07-08 16:49:30 0.67703897	
2020-07-08 16:50:29 0.68461406	
2020-07-08 16:51:30 0.6852356	
2020-07-08 16:52:30 0.6842557	
2020-07-08 16:53:29 0.67694646	
2020-07-08 16:54:30 0.67628944	
2020-07-08 16:55:29 0.67972666	
2020-07-08 16:56:30 0.68736917	
2020-07-08 16:57:29 0.6841864	
2020-07-08 16:58:30 0.68440354	
2020-07-08 16:59:29 0.68076515	
2020-07-08 17:00:30 0.68627995	
2020-07-08 17:01:30 0.6793017	
2020-07-08 17:02:29 0.6785247	
2020-07-08 17:03:30 0.6796187	
2020-07-08 17:04:29 0.6832894	
2020-07-08 17:05:30 0.6934753	
2020-07-08 17:06:29 0.6942039	
2020-07-08 17:07:30 0.6926746	
2020-07-08 17:08:29 0.6883379	
2020-07-08 17:09:30 0.687048	
2020-07-08 17:10:30 0.6906922	
2020-07-08 17:11:29 0.68953216	
2020-07-08 17:12:30 0.6902482	
2020-07-08 17:13:29 0.6881049	
2020-07-08 17:14:30 0.6895458	
2020-07-08 17:15:29 0.68844604	
2020-07-08 17:16:30 0.684502	
2020-07-08 17:17:29 0.6781191	
2020-07-08 17:18:30 0.6857633	
2020-07-08 17:19:30 0.67952794	
2020-07-08 17:20:29 0.6804066	
2020-07-08 17:21:30 0.6819178	
2020-07-08 17:22:29 0.6907779	
2020-07-08 17:23:30 0.6899851	
2020-07-08 17:24:29 0.6887284	
2020-07-08 17:25:30 0.69081813	
2020-07-08 17:26:29 0.6832981	
2020-07-08 17:27:30 0.6876612	
2020-07-08 17:28:30 0.68738973	
2020-07-08 17:29:29 0.68365365	
2020-07-08 17:30:30 0.6925594	
2020-07-08 17:31:29 0.6903969	
2020-07-08 17:32:30 0.6885429	
2020-07-08 17:33:29 0.68214357	
2020-07-08 17:34:30 0.68779165	
2020-07-08 17:35:29 0.6872172	
2020-07-08 17:36:30 0.69106466	
2020-07-08 17:37:30 0.68845886	
2020-07-08 17:38:29 0.6892993	
2020-07-08 17:39:30 0.6935136	
2020-07-08 17:40:29 0.7027621	
2020-07-08 17:41:30 0.6988174	
2020-07-08 17:42:29 0.6937873	
2020-07-08 17:43:30 0.68678886	
2020-07-08 17:44:29 0.6826065	
2020-07-08 17:45:30 0.68898296	
2020-07-08 17:46:30 0.6849486	
2020-07-08 17:47:29 0.68253005	
2020-07-08 17:48:30 0.68110144	
2020-07-08 17:49:29 0.682658	
2020-07-08 17:50:30 0.68659836	
2020-07-08 17:51:29 0.6838698	
2020-07-08 17:52:30 0.6811381	
2020-07-08 17:53:29 0.68077266	
2020-07-08 17:54:30 0.68412644	
2020-07-08 17:55:30 0.68052465	
2020-07-08 17:56:29 0.6817085	
2020-07-08 17:57:30 0.68170977	
2020-07-08 17:58:29 0.6864727	
2020-07-08 17:59:30 0.68447393	
2020-07-08 18:00:29 0.6829392	
2020-07-08 18:01:30 0.6829099	
2020-07-08 18:02:29 0.6868685	
2020-07-08 18:03:30 0.6887519	
2020-07-08 18:04:30 0.69026786	
2020-07-08 18:05:29 0.6893607	
2020-07-08 18:06:30 0.6876997	
2020-07-08 18:07:29 0.68671215	
2020-07-08 18:08:30 0.6859097	
2020-07-08 18:09:29 0.68211323	
2020-07-08 18:10:30 0.68352795	
2020-07-08 18:11:29 0.6826242	
2020-07-08 18:12:30 0.6770159	
2020-07-08 18:13:30 0.678142	
2020-07-08 18:14:29 0.67580795	
2020-07-08 18:15:30 0.6747545	
2020-07-08 18:16:29 0.6771641	
2020-07-08 18:17:30 0.6777787	
2020-07-08 18:18:29 0.6804417	
2020-07-08 18:19:30 0.6805043	
2020-07-08 18:20:29 0.6837233	
2020-07-08 18:21:30 0.68465215	
2020-07-08 18:22:30 0.6825074	
2020-07-08 18:23:29 0.6807966	
2020-07-08 18:24:30 0.67841643	
2020-07-08 18:25:29 0.6802422	
2020-07-08 18:26:30 0.6824021	
2020-07-08 18:27:29 0.6821947	
2020-07-08 18:28:30 0.6812482	
2020-07-08 18:29:29 0.6826748	
2020-07-08 18:30:30 0.6860128	
2020-07-08 18:31:30 0.68202835	
2020-07-08 18:32:29 0.6824003	
2020-07-08 18:33:30 0.6799701	
2020-07-08 18:34:29 0.6767021	
2020-07-08 18:35:30 0.67831475	
2020-07-08 18:36:29 0.6777918	
2020-07-08 18:37:30 0.6792846	
2020-07-08 18:38:29 0.67747456	
2020-07-08 18:39:30 0.68313473	
2020-07-08 18:40:30 0.6803074	
2020-07-08 18:41:29 0.6787429	
2020-07-08 18:42:30 0.68073606	
2020-07-08 18:43:29 0.68146676	
2020-07-08 18:44:30 0.68435967	
2020-07-08 18:45:29 0.688375	
2020-07-08 18:46:30 0.68963176	
2020-07-08 18:47:29 0.68739223	
2020-07-08 18:48:30 0.6890517	
2020-07-08 18:49:30 0.693068	
2020-07-08 18:50:29 0.6952125	
2020-07-08 18:51:30 0.6959487	
2020-07-08 18:52:29 0.69614846	
2020-07-08 18:53:30 0.6954733	
2020-07-08 18:54:29 0.6995386	
2020-07-08 18:55:30 0.7013339	
2020-07-08 18:56:29 0.7067956	
2020-07-08 18:57:30 0.70656437	
2020-07-08 18:58:30 0.7075654	
2020-07-08 18:59:29 0.71018887	
2020-07-08 19:00:30 0.70858705	
2020-07-08 19:01:29 0.71375513	
2020-07-08 19:02:30 0.71625763	
2020-07-08 19:03:29 0.7152428	
2020-07-08 19:04:30 0.71216327	
2020-07-08 19:05:29 0.71119183	
2020-07-08 19:06:30 0.71059996	
2020-07-08 19:07:30 0.70772594	
2020-07-08 19:08:29 0.7068781	
2020-07-08 19:09:30 0.7069561	
2020-07-08 19:10:29 0.7038053	
2020-07-08 19:11:30 0.7003352	
2020-07-08 19:12:29 0.69856685	
2020-07-08 19:13:30 0.6969207	
2020-07-08 19:14:29 0.69480664	
2020-07-08 19:15:30 0.6923856	
2020-07-08 19:16:30 0.6912346	
2020-07-08 19:17:29 0.687722	
2020-07-08 19:18:30 0.68918663	
2020-07-08 19:19:29 0.68924683	
2020-07-08 19:20:30 0.69216007	
2020-07-08 19:21:29 0.6891753	
2020-07-08 19:22:30 0.6856722	
2020-07-08 19:23:29 0.6840537	
2020-07-08 19:24:30 0.6828433	
2020-07-08 19:25:30 0.6849001	
2020-07-08 19:26:29 0.68088907	
