# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
Date Time aod
2020-05-22 08:10:30 0.06662278	
2020-05-22 08:11:29 0.06784234	
2020-05-22 08:12:30 0.07011139	
2020-05-22 08:13:29 0.06985987	
2020-05-22 08:14:30 0.06947231	
2020-05-22 08:15:29 0.06955714	
2020-05-22 08:16:30 0.069053814	
2020-05-22 08:17:29 0.06887205	
2020-05-22 08:18:30 0.067579746	
2020-05-22 08:19:30 0.06802707	
2020-05-22 08:20:29 0.06940602	
2020-05-22 08:21:30 0.06936167	
2020-05-22 08:22:29 0.06886025	
2020-05-22 08:23:30 0.06960049	
2020-05-22 08:24:29 0.06991654	
2020-05-22 08:25:30 0.06915239	
2020-05-22 08:26:29 0.070147365	
2020-05-22 08:27:30 0.07099532	
2020-05-22 08:28:30 0.07044531	
2020-05-22 08:29:29 0.071115784	
2020-05-22 08:30:30 0.070603125	
2020-05-22 08:31:29 0.07151399	
2020-05-22 08:32:30 0.071477205	
2020-05-22 08:33:29 0.07062264	
2020-05-22 08:34:30 0.07121323	
2020-05-22 08:35:29 0.07191298	
2020-05-22 08:36:30 0.07116147	
2020-05-22 08:37:30 0.08038709	
2020-05-22 08:38:29 0.07229527	
2020-05-22 08:39:30 0.07253107	
2020-05-22 08:40:29 0.07179115	
2020-05-22 08:41:30 0.069545396	
2020-05-22 08:42:29 0.06823586	
2020-05-22 08:43:30 0.06814354	
2020-05-22 08:44:29 0.06834982	
2020-05-22 08:45:30 0.06885517	
2020-05-22 08:46:30 0.07020116	
2020-05-22 08:47:29 0.0710661	
2020-05-22 08:48:30 0.07261602	
2020-05-22 08:49:29 0.07325425	
2020-05-22 08:50:30 0.07322494	
2020-05-22 08:51:29 0.072902314	
2020-05-22 08:52:30 0.07174269	
2020-05-22 08:53:29 0.07185233	
2020-05-22 08:54:30 0.07096838	
2020-05-22 08:55:30 0.06986889	
2020-05-22 08:56:29 0.06987304	
2020-05-22 08:57:30 0.07096628	
2020-05-22 08:58:29 0.072065294	
2020-05-22 08:59:30 0.07297021	
2020-05-22 09:00:29 0.073133826	
2020-05-22 09:01:30 0.072612025	
2020-05-22 09:02:29 0.07222615	
2020-05-22 09:03:30 0.0729155	
2020-05-22 09:04:30 0.07290703	
2020-05-22 09:05:29 0.0716565	
2020-05-22 09:06:30 0.07225907	
2020-05-22 09:07:29 0.072471246	
2020-05-22 09:08:30 0.07061281	
2020-05-22 09:09:29 0.06803192	
2020-05-22 09:10:30 0.06787078	
2020-05-22 09:11:29 0.06800799	
2020-05-22 09:12:30 0.06933941	
2020-05-22 09:13:30 0.06962974	
2020-05-22 09:14:29 0.069781564	
2020-05-22 09:15:30 0.0696422	
2020-05-22 09:16:29 0.069616646	
2020-05-22 09:17:30 0.06988233	
2020-05-22 09:18:29 0.06863708	
2020-05-22 09:19:30 0.06708755	
2020-05-22 09:20:29 0.066343956	
2020-05-22 09:21:30 0.06608053	
2020-05-22 09:22:30 0.0663072	
2020-05-22 09:23:29 0.06647968	
2020-05-22 09:24:30 0.06785969	
2020-05-22 09:25:29 0.06920562	
2020-05-22 09:26:30 0.06998707	
2020-05-22 09:27:29 0.07033321	
2020-05-22 09:28:30 0.070515536	
2020-05-22 09:29:29 0.06997162	
2020-05-22 09:30:30 0.07086393	
2020-05-22 09:31:30 0.07059752	
2020-05-22 09:32:29 0.06919762	
2020-05-22 09:33:30 0.067950286	
2020-05-22 09:34:29 0.06788308	
2020-05-22 09:35:30 0.06748102	
2020-05-22 09:36:29 0.06657279	
2020-05-22 09:37:30 0.06753159	
2020-05-22 09:38:29 0.06808251	
2020-05-22 09:39:30 0.06841134	
2020-05-22 09:40:30 0.06854967	
2020-05-22 09:41:29 0.06841098	
2020-05-22 09:42:30 0.06861206	
2020-05-22 09:43:29 0.06773369	
2020-05-22 09:44:30 0.06803042	
2020-05-22 09:45:29 0.06793066	
2020-05-22 09:46:30 0.06799398	
2020-05-22 09:47:29 0.06887166	
2020-05-22 09:48:30 0.06857299	
2020-05-22 09:49:30 0.067983635	
2020-05-22 09:50:29 0.068656184	
