# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
# Input File: MPL100_V3_L15_PBL_20200522_MPL44255_Santa_Cruz_Tenerife.nc4
# Date Time, Mixed Layer Height [km]
2020-05-25 23:12:30 1.3490663	
2020-05-25 23:13:29 1.4240143	
2020-05-25 23:14:30 1.4240143	
2020-05-25 23:15:29 1.4240143	
2020-05-25 23:16:30 1.4240143	
2020-05-25 23:17:29 1.4240143	
2020-05-25 23:18:30 1.4240143	
2020-05-25 23:19:30 1.4240143	
2020-05-25 23:20:29 1.4240143	
2020-05-25 23:21:30 1.4240143	
2020-05-25 23:22:29 1.4989625	
2020-05-25 23:23:30 1.4989625	
2020-05-25 23:24:29 1.4989625	
2020-05-25 23:25:30 1.4989625	
2020-05-25 23:26:29 1.19917	
2020-05-25 23:27:30 1.4989625	
2020-05-25 23:28:30 1.4240143	
2020-05-25 23:29:29 1.3490663	
2020-05-25 23:30:30 1.3490663	
2020-05-25 23:31:29 1.3490663	
2020-05-25 23:32:30 1.3490663	
2020-05-25 23:33:29 1.3490663	
2020-05-25 23:34:30 1.3490663	
2020-05-25 23:35:29 1.3490663	
2020-05-25 23:36:30 1.3490663	
2020-05-25 23:37:30 1.3490663	
2020-05-25 23:38:29 1.3490663	
2020-05-25 23:39:30 1.3490663	
2020-05-25 23:40:29 1.3490663	
2020-05-25 23:41:30 1.3490663	
2020-05-25 23:42:29 1.4240143	
2020-05-25 23:43:30 1.4240143	
2020-05-25 23:44:29 1.4240143	
2020-05-25 23:45:30 1.4240143	
2020-05-25 23:46:30 1.4240143	
2020-05-25 23:47:29 1.4240143	
2020-05-25 23:48:30 1.3490663	
2020-05-25 23:49:29 1.3490663	
2020-05-25 23:50:30 1.3490663	
2020-05-25 23:51:29 1.3490663	
2020-05-25 23:52:30 1.3490663	
2020-05-25 23:53:29 1.3490663	
2020-05-25 23:54:30 1.3490663	
2020-05-25 23:55:30 1.3490663	
2020-05-25 23:56:29 1.3490663	
2020-05-25 23:57:30 1.3490663	
2020-05-25 23:58:29 1.3490663	
2020-05-25 23:59:30 1.3490663	
2020-05-26 00:00:29 1.3490663	
2020-05-26 00:01:30 1.3490663	
2020-05-26 00:02:29 1.3490663	
2020-05-26 00:03:30 1.3490663	
2020-05-26 00:04:30 1.3490663	
2020-05-26 00:05:29 1.3490663	
2020-05-26 00:06:30 1.3490663	
2020-05-26 00:07:29 1.3490663	
2020-05-26 00:08:30 1.3490663	
2020-05-26 00:09:29 1.4240143	
